id,longitude,latitude,start_date,end_date,label,coverage
1,-55.0527448204583,-11.8928703923053,2000-02-18,2017-02-18,NoClass,mod13q1_512
2,-55.0523232802187,-11.8907870589722,2000-02-18,2017-02-18,NoClass,mod13q1_512
3,-55.0519018192194,-11.888703725639,2000-02-18,2017-02-18,NoClass,mod13q1_512
4,-55.0514804374575,-11.8866203923059,2000-02-18,2017-02-18,NoClass,mod13q1_512
5,-55.0510591349301,-11.8845370589728,2000-02-18,2017-02-18,NoClass,mod13q1_512
6,-55.0506379116342,-11.8824537256396,2000-02-18,2017-02-18,NoClass,mod13q1_512
7,-55.0502167675669,-11.8803703923065,2000-02-18,2017-02-18,NoClass,mod13q1_512
8,-55.0497957027253,-11.8782870589733,2000-02-18,2017-02-18,NoClass,mod13q1_512
9,-55.0493747171064,-11.8762037256402,2000-02-18,2017-02-18,NoClass,mod13q1_512
10,-55.0489538107073,-11.874120392307,2000-02-18,2017-02-18,NoClass,mod13q1_512
11,-55.0506157866405,-11.8928703923053,2000-02-18,2017-02-18,NoClass,mod13q1_512
12,-55.0501942627029,-11.8907870589722,2000-02-18,2017-02-18,NoClass,mod13q1_512
13,-55.0497728180026,-11.888703725639,2000-02-18,2017-02-18,NoClass,mod13q1_512
14,-55.0493514525367,-11.8866203923059,2000-02-18,2017-02-18,NoClass,mod13q1_512
15,-55.0489301663021,-11.8845370589728,2000-02-18,2017-02-18,NoClass,mod13q1_512
16,-55.0485089592961,-11.8824537256396,2000-02-18,2017-02-18,NoClass,mod13q1_512
17,-55.0480878315155,-11.8803703923065,2000-02-18,2017-02-18,NoClass,mod13q1_512
18,-55.0476667829576,-11.8782870589733,2000-02-18,2017-02-18,NoClass,mod13q1_512
19,-55.0472458136193,-11.8762037256402,2000-02-18,2017-02-18,NoClass,mod13q1_512
20,-55.0468249234978,-11.874120392307,2000-02-18,2017-02-18,NoClass,mod13q1_512
21,-55.0484867528227,-11.8928703923053,2000-02-18,2017-02-18,NoClass,mod13q1_512
22,-55.0480652451872,-11.8907870589722,2000-02-18,2017-02-18,NoClass,mod13q1_512
23,-55.0476438167859,-11.888703725639,2000-02-18,2017-02-18,NoClass,mod13q1_512
24,-55.0472224676159,-11.8866203923059,2000-02-18,2017-02-18,NoClass,mod13q1_512
25,-55.0468011976742,-11.8845370589728,2000-02-18,2017-02-18,NoClass,mod13q1_512
26,-55.0463800069579,-11.8824537256396,2000-02-18,2017-02-18,NoClass,mod13q1_512
27,-55.0459588954641,-11.8803703923065,2000-02-18,2017-02-18,NoClass,mod13q1_512
28,-55.0455378631899,-11.8782870589733,2000-02-18,2017-02-18,NoClass,mod13q1_512
29,-55.0451169101322,-11.8762037256402,2000-02-18,2017-02-18,NoClass,mod13q1_512
30,-55.0446960362883,-11.874120392307,2000-02-18,2017-02-18,NoClass,mod13q1_512
31,-55.0463577190049,-11.8928703923053,2000-02-18,2017-02-18,NoClass,mod13q1_512
32,-55.0459362276714,-11.8907870589722,2000-02-18,2017-02-18,NoClass,mod13q1_512
33,-55.0455148155692,-11.888703725639,2000-02-18,2017-02-18,NoClass,mod13q1_512
34,-55.0450934826951,-11.8866203923059,2000-02-18,2017-02-18,NoClass,mod13q1_512
35,-55.0446722290463,-11.8845370589728,2000-02-18,2017-02-18,NoClass,mod13q1_512
36,-55.0442510546198,-11.8824537256396,2000-02-18,2017-02-18,NoClass,mod13q1_512
37,-55.0438299594128,-11.8803703923065,2000-02-18,2017-02-18,NoClass,mod13q1_512
38,-55.0434089434222,-11.8782870589733,2000-02-18,2017-02-18,NoClass,mod13q1_512
39,-55.0429880066452,-11.8762037256402,2000-02-18,2017-02-18,NoClass,mod13q1_512
40,-55.0425671490787,-11.874120392307,2000-02-18,2017-02-18,NoClass,mod13q1_512
41,-55.0442286851871,-11.8928703923053,2000-02-18,2017-02-18,NoClass,mod13q1_512
42,-55.0438072101557,-11.8907870589722,2000-02-18,2017-02-18,NoClass,mod13q1_512
43,-55.0433858143524,-11.888703725639,2000-02-18,2017-02-18,NoClass,mod13q1_512
44,-55.0429644977743,-11.8866203923059,2000-02-18,2017-02-18,NoClass,mod13q1_512
45,-55.0425432604184,-11.8845370589728,2000-02-18,2017-02-18,NoClass,mod13q1_512
46,-55.0421221022817,-11.8824537256396,2000-02-18,2017-02-18,NoClass,mod13q1_512
47,-55.0417010233614,-11.8803703923065,2000-02-18,2017-02-18,NoClass,mod13q1_512
48,-55.0412800236545,-11.8782870589733,2000-02-18,2017-02-18,NoClass,mod13q1_512
49,-55.0408591031581,-11.8762037256402,2000-02-18,2017-02-18,NoClass,mod13q1_512
50,-55.0404382618692,-11.874120392307,2000-02-18,2017-02-18,NoClass,mod13q1_512
51,-55.0420996513693,-11.8928703923053,2000-02-18,2017-02-18,NoClass,mod13q1_512
52,-55.04167819264,-11.8907870589722,2000-02-18,2017-02-18,NoClass,mod13q1_512
53,-55.0412568131357,-11.888703725639,2000-02-18,2017-02-18,NoClass,mod13q1_512
54,-55.0408355128535,-11.8866203923059,2000-02-18,2017-02-18,NoClass,mod13q1_512
55,-55.0404142917904,-11.8845370589728,2000-02-18,2017-02-18,NoClass,mod13q1_512
56,-55.0399931499436,-11.8824537256396,2000-02-18,2017-02-18,NoClass,mod13q1_512
57,-55.03957208731,-11.8803703923065,2000-02-18,2017-02-18,NoClass,mod13q1_512
58,-55.0391511038868,-11.8782870589733,2000-02-18,2017-02-18,NoClass,mod13q1_512
59,-55.038730199671,-11.8762037256402,2000-02-18,2017-02-18,NoClass,mod13q1_512
60,-55.0383093746597,-11.874120392307,2000-02-18,2017-02-18,NoClass,mod13q1_512
61,-55.0399706175515,-11.8928703923053,2000-02-18,2017-02-18,NoClass,mod13q1_512
62,-55.0395491751242,-11.8907870589722,2000-02-18,2017-02-18,NoClass,mod13q1_512
63,-55.039127811919,-11.888703725639,2000-02-18,2017-02-18,NoClass,mod13q1_512
64,-55.0387065279327,-11.8866203923059,2000-02-18,2017-02-18,NoClass,mod13q1_512
65,-55.0382853231625,-11.8845370589728,2000-02-18,2017-02-18,NoClass,mod13q1_512
66,-55.0378641976055,-11.8824537256396,2000-02-18,2017-02-18,NoClass,mod13q1_512
67,-55.0374431512586,-11.8803703923065,2000-02-18,2017-02-18,NoClass,mod13q1_512
68,-55.0370221841191,-11.8782870589733,2000-02-18,2017-02-18,NoClass,mod13q1_512
69,-55.0366012961839,-11.8762037256402,2000-02-18,2017-02-18,NoClass,mod13q1_512
70,-55.0361804874502,-11.874120392307,2000-02-18,2017-02-18,NoClass,mod13q1_512
71,-55.0378415837337,-11.8928703923053,2000-02-18,2017-02-18,NoClass,mod13q1_512
72,-55.0374201576085,-11.8907870589722,2000-02-18,2017-02-18,NoClass,mod13q1_512
73,-55.0369988107022,-11.888703725639,2000-02-18,2017-02-18,NoClass,mod13q1_512
74,-55.0365775430119,-11.8866203923059,2000-02-18,2017-02-18,NoClass,mod13q1_512
75,-55.0361563545346,-11.8845370589728,2000-02-18,2017-02-18,NoClass,mod13q1_512
76,-55.0357352452674,-11.8824537256396,2000-02-18,2017-02-18,NoClass,mod13q1_512
77,-55.0353142152073,-11.8803703923065,2000-02-18,2017-02-18,NoClass,mod13q1_512
78,-55.0348932643514,-11.8782870589733,2000-02-18,2017-02-18,NoClass,mod13q1_512
79,-55.0344723926969,-11.8762037256402,2000-02-18,2017-02-18,NoClass,mod13q1_512
80,-55.0340516002406,-11.874120392307,2000-02-18,2017-02-18,NoClass,mod13q1_512
81,-55.0357125499159,-11.8928703923053,2000-02-18,2017-02-18,NoClass,mod13q1_512
82,-55.0352911400928,-11.8907870589722,2000-02-18,2017-02-18,NoClass,mod13q1_512
83,-55.0348698094855,-11.888703725639,2000-02-18,2017-02-18,NoClass,mod13q1_512
84,-55.0344485580911,-11.8866203923059,2000-02-18,2017-02-18,NoClass,mod13q1_512
85,-55.0340273859067,-11.8845370589728,2000-02-18,2017-02-18,NoClass,mod13q1_512
86,-55.0336062929292,-11.8824537256396,2000-02-18,2017-02-18,NoClass,mod13q1_512
87,-55.0331852791559,-11.8803703923065,2000-02-18,2017-02-18,NoClass,mod13q1_512
88,-55.0327643445837,-11.8782870589733,2000-02-18,2017-02-18,NoClass,mod13q1_512
89,-55.0323434892098,-11.8762037256402,2000-02-18,2017-02-18,NoClass,mod13q1_512
90,-55.0319227130311,-11.874120392307,2000-02-18,2017-02-18,NoClass,mod13q1_512
91,-55.0335835160981,-11.8928703923053,2000-02-18,2017-02-18,NoClass,mod13q1_512
92,-55.033162122577,-11.8907870589722,2000-02-18,2017-02-18,NoClass,mod13q1_512
93,-55.0327408082688,-11.888703725639,2000-02-18,2017-02-18,NoClass,mod13q1_512
94,-55.0323195731703,-11.8866203923059,2000-02-18,2017-02-18,NoClass,mod13q1_512
95,-55.0318984172787,-11.8845370589728,2000-02-18,2017-02-18,NoClass,mod13q1_512
96,-55.0314773405911,-11.8824537256396,2000-02-18,2017-02-18,NoClass,mod13q1_512
97,-55.0310563431045,-11.8803703923065,2000-02-18,2017-02-18,NoClass,mod13q1_512
98,-55.030635424816,-11.8782870589733,2000-02-18,2017-02-18,NoClass,mod13q1_512
99,-55.0302145857227,-11.8762037256402,2000-02-18,2017-02-18,NoClass,mod13q1_512
100,-55.0297938258216,-11.874120392307,2000-02-18,2017-02-18,NoClass,mod13q1_512
101,-55.0314544822803,-11.8928703923053,2000-02-18,2017-02-18,NoClass,mod13q1_512
102,-55.0310331050613,-11.8907870589722,2000-02-18,2017-02-18,NoClass,mod13q1_512
103,-55.030611807052,-11.888703725639,2000-02-18,2017-02-18,NoClass,mod13q1_512
104,-55.0301905882495,-11.8866203923059,2000-02-18,2017-02-18,NoClass,mod13q1_512
105,-55.0297694486508,-11.8845370589728,2000-02-18,2017-02-18,NoClass,mod13q1_512
106,-55.029348388253,-11.8824537256396,2000-02-18,2017-02-18,NoClass,mod13q1_512
107,-55.0289274070532,-11.8803703923065,2000-02-18,2017-02-18,NoClass,mod13q1_512
108,-55.0285065050483,-11.8782870589733,2000-02-18,2017-02-18,NoClass,mod13q1_512
109,-55.0280856822356,-11.8762037256402,2000-02-18,2017-02-18,NoClass,mod13q1_512
110,-55.0276649386121,-11.874120392307,2000-02-18,2017-02-18,NoClass,mod13q1_512
